state,year,yield_bu_acre
ALABAMA,2024,71
ARKANSAS,2024,56
CALIFORNIA,2024,78
COLORADO,2024,35
DELAWARE,2024,72
GEORGIA,2024,59
IDAHO,2024,89
ILLINOIS,2024,86
INDIANA,2024,89
KANSAS,2024,43
KENTUCKY,2024,75
MARYLAND,2024,75
MICHIGAN,2024,87
MISSISSIPPI,2024,50
MISSOURI,2024,75
MONTANA,2024,50
NEBRASKA,2024,52
NEW MEXICO,2024,12
NEW YORK,2024,75
NORTH CAROLINA,2024,57
NORTH DAKOTA,2024,54
OHIO,2024,85
OKLAHOMA,2024,38
OREGON,2024,70
PENNSYLVANIA,2024,75
SOUTH CAROLINA,2024,54
SOUTH DAKOTA,2024,63
TENNESSEE,2024,75
TEXAS,2024,31
UTAH,2024,49
VIRGINIA,2024,66
WASHINGTON,2024,70
WISCONSIN,2024,82
WYOMING,2024,31
ALABAMA,2023,75
ARKANSAS,2023,57
CALIFORNIA,2023,80
COLORADO,2023,41
DELAWARE,2023,92
GEORGIA,2023,55
IDAHO,2023,89
ILLINOIS,2023,87
INDIANA,2023,92
KANSAS,2023,35
KENTUCKY,2023,88
MARYLAND,2023,85
MICHIGAN,2023,83
MISSISSIPPI,2023,52
MISSOURI,2023,70
MONTANA,2023,51
NEBRASKA,2023,42
NEW JERSEY,2023,82
NEW MEXICO,2023,11
NEW YORK,2023,81
NORTH CAROLINA,2023,70
NORTH DAKOTA,2023,56
OHIO,2023,90
OKLAHOMA,2023,28
OREGON,2023,56
OTHER STATES,2023,0
PENNSYLVANIA,2023,76
SOUTH CAROLINA,2023,58
SOUTH DAKOTA,2023,47
TENNESSEE,2023,80
TEXAS,2023,37
UTAH,2023,53
VIRGINIA,2023,78
WASHINGTON,2023,54
WISCONSIN,2023,76
WYOMING,2023,30
ALABAMA,2022,72
ARKANSAS,2022,53
CALIFORNIA,2022,73
COLORADO,2022,25
DELAWARE,2022,76
GEORGIA,2022,58
IDAHO,2022,90
ILLINOIS,2022,79
INDIANA,2022,81
KANSAS,2022,37
KENTUCKY,2022,80
MARYLAND,2022,78
MICHIGAN,2022,83
MISSISSIPPI,2022,52
MISSOURI,2022,60
MONTANA,2022,33
NEBRASKA,2022,32
NEW JERSEY,2022,70
NEW MEXICO,2022,17
NEW YORK,2022,72
NORTH CAROLINA,2022,64
NORTH DAKOTA,2022,60
OHIO,2022,79
OKLAHOMA,2022,28
OREGON,2022,68
OTHER STATES,2022,0
PENNSYLVANIA,2022,73
SOUTH CAROLINA,2022,57
SOUTH DAKOTA,2022,52
TENNESSEE,2022,73
TEXAS,2022,30
UTAH,2022,36
VIRGINIA,2022,68
WASHINGTON,2022,68
WISCONSIN,2022,78
WYOMING,2022,17
ALABAMA,2021,83
ARKANSAS,2021,58
CALIFORNIA,2021,82
COLORADO,2021,37
DELAWARE,2021,70
GEORGIA,2021,56
IDAHO,2021,71
ILLINOIS,2021,79
INDIANA,2021,85
KANSAS,2021,52
KENTUCKY,2021,87
MARYLAND,2021,79
MICHIGAN,2021,81
MISSISSIPPI,2021,59
MISSOURI,2021,65
MONTANA,2021,31
NEBRASKA,2021,49
NEW JERSEY,2021,67
NEW MEXICO,2021,36
NEW YORK,2021,77
NORTH CAROLINA,2021,56
NORTH DAKOTA,2021,33
OHIO,2021,85
OKLAHOMA,2021,39
OREGON,2021,45
OTHER STATES,2021,0
PENNSYLVANIA,2021,77
SOUTH CAROLINA,2021,53
SOUTH DAKOTA,2021,38
TENNESSEE,2021,71
TEXAS,2021,37
UTAH,2021,46
VIRGINIA,2021,67
WASHINGTON,2021,42
WISCONSIN,2021,75
WYOMING,2021,32
ALABAMA,2020,72
ARKANSAS,2020,55
CALIFORNIA,2020,75
COLORADO,2020,27
DELAWARE,2020,73
GEORGIA,2020,55
IDAHO,2020,101
ILLINOIS,2020,68
INDIANA,2020,70
KANSAS,2020,45
KENTUCKY,2020,63
MARYLAND,2020,73
MICHIGAN,2020,75
MISSISSIPPI,2020,48
MISSOURI,2020,62
MONTANA,2020,51
NEBRASKA,2020,41
NEW JERSEY,2020,67
NEW MEXICO,2020,28
NEW YORK,2020,66
NORTH CAROLINA,2020,60
NORTH DAKOTA,2020,49
OHIO,2020,71
OKLAHOMA,2020,40
OREGON,2020,64
OTHER STATES,2020,0
PENNSYLVANIA,2020,71
SOUTH CAROLINA,2020,51
SOUTH DAKOTA,2020,58
TENNESSEE,2020,59
TEXAS,2020,30
UTAH,2020,53
VIRGINIA,2020,60
WASHINGTON,2020,76
WISCONSIN,2020,69
WYOMING,2020,26
ALABAMA,2019,72
ARKANSAS,2019,52
CALIFORNIA,2019,50
COLORADO,2019,49
DELAWARE,2019,72
GEORGIA,2019,56
IDAHO,2019,87
ILLINOIS,2019,67
INDIANA,2019,62
KANSAS,2019,52
KENTUCKY,2019,76
MARYLAND,2019,75
MICHIGAN,2019,71
MISSISSIPPI,2019,47
MISSOURI,2019,63
MONTANA,2019,50
NEBRASKA,2019,57
NEW JERSEY,2019,66
NEW MEXICO,2019,30
NEW YORK,2019,63
NORTH CAROLINA,2019,56
NORTH DAKOTA,2019,53
OHIO,2019,56
OKLAHOMA,2019,40
OREGON,2019,68
OTHER STATES,2019,0
PENNSYLVANIA,2019,73
SOUTH CAROLINA,2019,48
SOUTH DAKOTA,2019,52
TENNESSEE,2019,67
TEXAS,2019,34
UTAH,2019,54
VIRGINIA,2019,62
WASHINGTON,2019,70
WISCONSIN,2019,64
WYOMING,2019,43
ALABAMA,2018,72
ARIZONA,2018,40
ARKANSAS,2018,55
CALIFORNIA,2018,77
COLORADO,2018,36
DELAWARE,2018,71
FLORIDA,2018,36
GEORGIA,2018,54
IDAHO,2018,90
ILLINOIS,2018,66
INDIANA,2018,71
IOWA,2018,58
KANSAS,2018,38
KENTUCKY,2018,66
LOUISIANA,2018,65
MARYLAND,2018,63
MICHIGAN,2018,76
MINNESOTA,2018,60
MISSISSIPPI,2018,49
MISSOURI,2018,59
MONTANA,2018,50
NEBRASKA,2018,49
NEVADA,2018,120
NEW JERSEY,2018,62
NEW MEXICO,2018,15
NEW YORK,2018,69
NORTH CAROLINA,2018,57
NORTH DAKOTA,2018,43
OHIO,2018,75
OKLAHOMA,2018,28
OREGON,2018,67
OTHER STATES,2018,0
PENNSYLVANIA,2018,65
SOUTH CAROLINA,2018,54
SOUTH DAKOTA,2018,48
TENNESSEE,2018,65
TEXAS,2018,32
UTAH,2018,52
VIRGINIA,2018,60
WASHINGTON,2018,76
WEST VIRGINIA,2018,46
WISCONSIN,2018,71
WYOMING,2018,34
ALABAMA,2017,77
ARIZONA,2017,100
ARKANSAS,2017,52
CALIFORNIA,2017,64
COLORADO,2017,43
DELAWARE,2017,73
FLORIDA,2017,37
GEORGIA,2017,47
IDAHO,2017,80
ILLINOIS,2017,76
INDIANA,2017,74
IOWA,2017,68
KANSAS,2017,48
KENTUCKY,2017,77
LOUISIANA,2017,46
MARYLAND,2017,71
MICHIGAN,2017,79
MINNESOTA,2017,45
MISSISSIPPI,2017,58
MISSOURI,2017,68
MONTANA,2017,42
NEBRASKA,2017,46
NEVADA,2017,107
NEW JERSEY,2017,64
NEW MEXICO,2017,30
NEW YORK,2017,67
NORTH CAROLINA,2017,55
NORTH DAKOTA,2017,37
OHIO,2017,74
OKLAHOMA,2017,34
OREGON,2017,63
OTHER STATES,2017,0
PENNSYLVANIA,2017,72
SOUTH CAROLINA,2017,49
SOUTH DAKOTA,2017,40
TENNESSEE,2017,70
TEXAS,2017,29
UTAH,2017,52
VIRGINIA,2017,66
WASHINGTON,2017,73
WEST VIRGINIA,2017,69
WISCONSIN,2017,68
WYOMING,2017,28
ALABAMA,2016,70
ARIZONA,2016,95
ARKANSAS,2016,54
CALIFORNIA,2016,78
COLORADO,2016,48
DELAWARE,2016,67
FLORIDA,2016,30
GEORGIA,2016,46
IDAHO,2016,94
ILLINOIS,2016,74
INDIANA,2016,81
IOWA,2016,63
KANSAS,2016,57
KENTUCKY,2016,80
LOUISIANA,2016,45
MARYLAND,2016,64
MICHIGAN,2016,89
MINNESOTA,2016,61
MISSISSIPPI,2016,48
MISSOURI,2016,70
MONTANA,2016,49
NEBRASKA,2016,54
NEVADA,2016,75
NEW JERSEY,2016,64
NEW MEXICO,2016,22
NEW YORK,2016,74
NORTH CAROLINA,2016,41
NORTH DAKOTA,2016,48
OHIO,2016,80
OKLAHOMA,2016,39
OREGON,2016,50
OTHER STATES,2016,0
PENNSYLVANIA,2016,68
SOUTH CAROLINA,2016,43
SOUTH DAKOTA,2016,58
TENNESSEE,2016,73
TEXAS,2016,32
UTAH,2016,60
VIRGINIA,2016,53
WASHINGTON,2016,78
WEST VIRGINIA,2016,61
WISCONSIN,2016,79
WYOMING,2016,34
ALABAMA,2015,68
ARIZONA,2015,103
ARKANSAS,2015,56
CALIFORNIA,2015,70
COLORADO,2015,37
DELAWARE,2015,65
FLORIDA,2015,43
GEORGIA,2015,43
IDAHO,2015,82
ILLINOIS,2015,65
INDIANA,2015,68
IOWA,2015,52
KANSAS,2015,37
KENTUCKY,2015,73
LOUISIANA,2015,39
MARYLAND,2015,64
MICHIGAN,2015,81
MINNESOTA,2015,58
MISSISSIPPI,2015,48
MISSOURI,2015,53
MONTANA,2015,41
NEBRASKA,2015,38
NEVADA,2015,90
NEW JERSEY,2015,50
NEW MEXICO,2015,25
NEW YORK,2015,63
NORTH CAROLINA,2015,53
NORTH DAKOTA,2015,44
OHIO,2015,67
OKLAHOMA,2015,26
OREGON,2015,47
OTHER STATES,2015,0
PENNSYLVANIA,2015,65
SOUTH CAROLINA,2015,46
SOUTH DAKOTA,2015,44
TENNESSEE,2015,68
TEXAS,2015,30
UTAH,2015,48
VIRGINIA,2015,66
WASHINGTON,2015,56
WEST VIRGINIA,2015,60
WISCONSIN,2015,74
WYOMING,2015,32
ALABAMA,2014,69
ARIZONA,2014,100
ARKANSAS,2014,63
CALIFORNIA,2014,80
COLORADO,2014,38
DELAWARE,2014,72
FLORIDA,2014,39
GEORGIA,2014,49
IDAHO,2014,80
ILLINOIS,2014,67
INDIANA,2014,76
IOWA,2014,49
KANSAS,2014,28
KENTUCKY,2014,71
LOUISIANA,2014,62
MARYLAND,2014,70
MICHIGAN,2014,74
MINNESOTA,2014,49
MISSISSIPPI,2014,58
MISSOURI,2014,58
MONTANA,2014,41
NEBRASKA,2014,49
NEVADA,2014,110
NEW JERSEY,2014,53
NEW MEXICO,2014,28
NEW YORK,2014,63
NORTH CAROLINA,2014,58
NORTH DAKOTA,2014,49
OHIO,2014,74
OKLAHOMA,2014,17
OREGON,2014,55
OTHER STATES,2014,0
PENNSYLVANIA,2014,65
SOUTH CAROLINA,2014,52
SOUTH DAKOTA,2014,55
TENNESSEE,2014,66
TEXAS,2014,30
UTAH,2014,50
VIRGINIA,2014,68
WASHINGTON,2014,52
WEST VIRGINIA,2014,64
WISCONSIN,2014,65
WYOMING,2014,38
ALABAMA,2013,69
ARIZONA,2013,80
ARKANSAS,2013,62
CALIFORNIA,2013,80
COLORADO,2013,25
DELAWARE,2013,64
FLORIDA,2013,59
GEORGIA,2013,60
IDAHO,2013,86
ILLINOIS,2013,67
INDIANA,2013,73
IOWA,2013,52
KANSAS,2013,38
KENTUCKY,2013,75
LOUISIANA,2013,58
MARYLAND,2013,67
MICHIGAN,2013,75
MINNESOTA,2013,43
MISSISSIPPI,2013,58
MISSOURI,2013,57
MONTANA,2013,43
NEBRASKA,2013,35
NEVADA,2013,90
NEW JERSEY,2013,54
NEW MEXICO,2013,44
NEW YORK,2013,68
NORTH CAROLINA,2013,57
NORTH DAKOTA,2013,43
OHIO,2013,70
OKLAHOMA,2013,31
OREGON,2013,62
PENNSYLVANIA,2013,68
SOUTH CAROLINA,2013,54
SOUTH DAKOTA,2013,39
TENNESSEE,2013,71
TEXAS,2013,29
UTAH,2013,44
VIRGINIA,2013,62
WASHINGTON,2013,69
WEST VIRGINIA,2013,52
WISCONSIN,2013,58
WYOMING,2013,24
ALABAMA,2012,59
ARIZONA,2012,80
ARKANSAS,2012,55
CALIFORNIA,2012,85
COLORADO,2012,31
DELAWARE,2012,74
FLORIDA,2012,42
GEORGIA,2012,50
IDAHO,2012,80
ILLINOIS,2012,64
INDIANA,2012,67
IOWA,2012,50
KANSAS,2012,42
KENTUCKY,2012,63
LOUISIANA,2012,49
MARYLAND,2012,68
MICHIGAN,2012,76
MINNESOTA,2012,55
MISSISSIPPI,2012,57
MISSOURI,2012,58
MONTANA,2012,39
NEBRASKA,2012,41
NEVADA,2012,77
NEW JERSEY,2012,56
NEW MEXICO,2012,27
NEW YORK,2012,63
NORTH CAROLINA,2012,57
NORTH DAKOTA,2012,56
OHIO,2012,68
OKLAHOMA,2012,36
OREGON,2012,66
PENNSYLVANIA,2012,65
SOUTH CAROLINA,2012,53
SOUTH DAKOTA,2012,50
TENNESSEE,2012,63
TEXAS,2012,33
UTAH,2012,47
VIRGINIA,2012,64
WASHINGTON,2012,70
WEST VIRGINIA,2012,65
WISCONSIN,2012,75
WYOMING,2012,26
ALABAMA,2011,73
ARIZONA,2011,70
ARKANSAS,2011,58
CALIFORNIA,2011,88
COLORADO,2011,37
DELAWARE,2011,69
FLORIDA,2011,46
GEORGIA,2011,56
IDAHO,2011,83
ILLINOIS,2011,61
INDIANA,2011,62
IOWA,2011,45
KANSAS,2011,35
KENTUCKY,2011,70
LOUISIANA,2011,63
MARYLAND,2011,67
MICHIGAN,2011,75
MINNESOTA,2011,56
MISSISSIPPI,2011,64
MISSOURI,2011,50
MONTANA,2011,41
NEBRASKA,2011,45
NEVADA,2011,117
NEW JERSEY,2011,49
NEW MEXICO,2011,21
NEW YORK,2011,55
NORTH CAROLINA,2011,68
NORTH DAKOTA,2011,37
OHIO,2011,57
OKLAHOMA,2011,23
OREGON,2011,77
PENNSYLVANIA,2011,51
SOUTH CAROLINA,2011,60
SOUTH DAKOTA,2011,42
TENNESSEE,2011,68
TEXAS,2011,25
UTAH,2011,50
VIRGINIA,2011,71
WASHINGTON,2011,74
WEST VIRGINIA,2011,59
WISCONSIN,2011,65
WYOMING,2011,34
ALABAMA,2010,55
ARIZONA,2010,70
ARKANSAS,2010,54
CALIFORNIA,2010,80
COLORADO,2010,43
DELAWARE,2010,58
FLORIDA,2010,41
GEORGIA,2010,40
IDAHO,2010,82
ILLINOIS,2010,57
INDIANA,2010,60
IOWA,2010,46
KANSAS,2010,45
KENTUCKY,2010,66
LOUISIANA,2010,51
MARYLAND,2010,60
MICHIGAN,2010,70
MINNESOTA,2010,47
MISSISSIPPI,2010,47
MISSOURI,2010,46
MONTANA,2010,49
NEBRASKA,2010,43
NEVADA,2010,109
NEW JERSEY,2010,49
NEW MEXICO,2010,28
NEW YORK,2010,67
NORTH CAROLINA,2010,38
NORTH DAKOTA,2010,55
OHIO,2010,61
OKLAHOMA,2010,31
OREGON,2010,67
PENNSYLVANIA,2010,59
SOUTH CAROLINA,2010,36
SOUTH DAKOTA,2010,49
TENNESSEE,2010,53
TEXAS,2010,33
UTAH,2010,48
VIRGINIA,2010,51
WASHINGTON,2010,69
WEST VIRGINIA,2010,54
WISCONSIN,2010,64
WYOMING,2010,32
ALABAMA,2009,54
ARIZONA,2009,85
ARKANSAS,2009,44
CALIFORNIA,2009,78
COLORADO,2009,40
DELAWARE,2009,61
FLORIDA,2009,44
GEORGIA,2009,42
IDAHO,2009,81
ILLINOIS,2009,56
INDIANA,2009,67
IOWA,2009,45
KANSAS,2009,42
KENTUCKY,2009,57
LOUISIANA,2009,56
MARYLAND,2009,59
MICHIGAN,2009,68
MINNESOTA,2009,45
MISSISSIPPI,2009,50
MISSOURI,2009,47
MONTANA,2009,37
NEBRASKA,2009,48
NEVADA,2009,102
NEW JERSEY,2009,51
NEW MEXICO,2009,20
NEW YORK,2009,65
NORTH CAROLINA,2009,49
NORTH DAKOTA,2009,48
OHIO,2009,71
OKLAHOMA,2009,22
OREGON,2009,56
PENNSYLVANIA,2009,56
SOUTH CAROLINA,2009,47
SOUTH DAKOTA,2009,41
TENNESSEE,2009,50
TEXAS,2009,25
UTAH,2009,50
VIRGINIA,2009,58
WASHINGTON,2009,58
WEST VIRGINIA,2009,50
WISCONSIN,2009,68
WYOMING,2009,38
ALABAMA,2008,71
ARIZONA,2008,95
ARKANSAS,2008,56
CALIFORNIA,2008,85
COLORADO,2008,31
DELAWARE,2008,77
FLORIDA,2008,54
GEORGIA,2008,55
IDAHO,2008,75
ILLINOIS,2008,64
INDIANA,2008,69
IOWA,2008,48
KANSAS,2008,40
KENTUCKY,2008,71
LOUISIANA,2008,57
MARYLAND,2008,73
MICHIGAN,2008,68
MINNESOTA,2008,52
MISSISSIPPI,2008,62
MISSOURI,2008,48
MONTANA,2008,39
NEBRASKA,2008,44
NEVADA,2008,104
NEW JERSEY,2008,61
NEW MEXICO,2008,31
NEW YORK,2008,63
NORTH CAROLINA,2008,60
NORTH DAKOTA,2008,41
OHIO,2008,67
OKLAHOMA,2008,37
OREGON,2008,57
PENNSYLVANIA,2008,64
SOUTH CAROLINA,2008,54
SOUTH DAKOTA,2008,55
TENNESSEE,2008,63
TEXAS,2008,30
UTAH,2008,41
VIRGINIA,2008,71
WASHINGTON,2008,56
WEST VIRGINIA,2008,60
WISCONSIN,2008,66
WYOMING,2008,29
ALABAMA,2007,42
ARIZONA,2007,90
ARKANSAS,2007,41
CALIFORNIA,2007,81
COLORADO,2007,39
DELAWARE,2007,68
FLORIDA,2007,55
GEORGIA,2007,40
IDAHO,2007,73
ILLINOIS,2007,55
INDIANA,2007,56
IOWA,2007,48
KANSAS,2007,33
KENTUCKY,2007,48
LOUISIANA,2007,54
MARYLAND,2007,66
MICHIGAN,2007,65
MINNESOTA,2007,45
MISSISSIPPI,2007,56
MISSOURI,2007,43
MONTANA,2007,38
NEBRASKA,2007,43
NEVADA,2007,100
NEW JERSEY,2007,51
NEW MEXICO,2007,28
NEW YORK,2007,53
NORTH CAROLINA,2007,40
NORTH DAKOTA,2007,49
OHIO,2007,61
OKLAHOMA,2007,28
OREGON,2007,53
PENNSYLVANIA,2007,58
SOUTH CAROLINA,2007,30
SOUTH DAKOTA,2007,46
TENNESSEE,2007,41
TEXAS,2007,37
UTAH,2007,42
VIRGINIA,2007,64
WASHINGTON,2007,62
WEST VIRGINIA,2007,57
WISCONSIN,2007,68
WYOMING,2007,25
ALABAMA,2006,57
ARIZONA,2006,90
ARKANSAS,2006,61
CALIFORNIA,2006,58
COLORADO,2006,21
DELAWARE,2006,67
FLORIDA,2006,42
GEORGIA,2006,49
IDAHO,2006,77
ILLINOIS,2006,67
INDIANA,2006,68
IOWA,2006,66
KANSAS,2006,32
KENTUCKY,2006,71
LOUISIANA,2006,53
MARYLAND,2006,67
MICHIGAN,2006,73
MINNESOTA,2006,62
MISSISSIPPI,2006,59
MISSOURI,2006,54
MONTANA,2006,43
NEBRASKA,2006,36
NEVADA,2006,110
NEW JERSEY,2006,60
NEW MEXICO,2006,34
NEW YORK,2006,61
NORTH CAROLINA,2006,59
NORTH DAKOTA,2006,43
OHIO,2006,68
OKLAHOMA,2006,24
OREGON,2006,52
PENNSYLVANIA,2006,59
SOUTH CAROLINA,2006,50
SOUTH DAKOTA,2006,36
TENNESSEE,2006,64
TEXAS,2006,24
UTAH,2006,45
VIRGINIA,2006,68
WASHINGTON,2006,65
WEST VIRGINIA,2006,61
WISCONSIN,2006,78
WYOMING,2006,27
ALABAMA,2005,50
ARIZONA,2005,80
ARKANSAS,2005,52
CALIFORNIA,2005,72
COLORADO,2005,24
DELAWARE,2005,70
FLORIDA,2005,45
GEORGIA,2005,52
IDAHO,2005,91
ILLINOIS,2005,61
INDIANA,2005,72
IOWA,2005,50
KANSAS,2005,40
KENTUCKY,2005,68
LOUISIANA,2005,48
MARYLAND,2005,66
MICHIGAN,2005,66
MINNESOTA,2005,36
MISSISSIPPI,2005,50
MISSOURI,2005,53
MONTANA,2005,45
NEBRASKA,2005,39
NEVADA,2005,110
NEW JERSEY,2005,53
NEW MEXICO,2005,38
NEW YORK,2005,54
NORTH CAROLINA,2005,57
NORTH DAKOTA,2005,38
OHIO,2005,71
OKLAHOMA,2005,32
OREGON,2005,61
PENNSYLVANIA,2005,54
SOUTH CAROLINA,2005,51
SOUTH DAKOTA,2005,44
TENNESSEE,2005,56
TEXAS,2005,32
UTAH,2005,47
VIRGINIA,2005,63
WASHINGTON,2005,67
WEST VIRGINIA,2005,60
WISCONSIN,2005,57
WYOMING,2005,30
ALABAMA,2004,48
ARIZONA,2004,90
ARKANSAS,2004,53
CALIFORNIA,2004,85
COLORADO,2004,27
DELAWARE,2004,58
FLORIDA,2004,45
GEORGIA,2004,45
IDAHO,2004,90
ILLINOIS,2004,59
INDIANA,2004,62
IOWA,2004,55
KANSAS,2004,37
KENTUCKY,2004,54
LOUISIANA,2004,50
MARYLAND,2004,59
MICHIGAN,2004,64
MINNESOTA,2004,40
MISSISSIPPI,2004,53
MISSOURI,2004,52
MONTANA,2004,41
NEBRASKA,2004,37
NEVADA,2004,110
NEW JERSEY,2004,47
NEW MEXICO,2004,28
NEW YORK,2004,53
NORTH CAROLINA,2004,50
NORTH DAKOTA,2004,43
OHIO,2004,62
OKLAHOMA,2004,35
OREGON,2004,61
PENNSYLVANIA,2004,49
SOUTH CAROLINA,2004,44
SOUTH DAKOTA,2004,45
TENNESSEE,2004,49
TEXAS,2004,31
UTAH,2004,43
VIRGINIA,2004,55
WASHINGTON,2004,67
WEST VIRGINIA,2004,52
WISCONSIN,2004,56
WYOMING,2004,26
ALABAMA,2003,41
ARIZONA,2003,103
ARKANSAS,2003,50
CALIFORNIA,2003,61
COLORADO,2003,35
DELAWARE,2003,41
FLORIDA,2003,41
GEORGIA,2003,46
IDAHO,2003,80
ILLINOIS,2003,65
INDIANA,2003,68
IOWA,2003,61
KANSAS,2003,48
KENTUCKY,2003,62
LOUISIANA,2003,41
MARYLAND,2003,37
MICHIGAN,2003,68
MINNESOTA,2003,42
MISSISSIPPI,2003,49
MISSOURI,2003,61
MONTANA,2003,37
NEBRASKA,2003,46
NEVADA,2003,83
NEW JERSEY,2003,42
NEW MEXICO,2003,32
NEW YORK,2003,53
NORTH CAROLINA,2003,36
NORTH DAKOTA,2003,48
OHIO,2003,68
OKLAHOMA,2003,39
OREGON,2003,51
PENNSYLVANIA,2003,43
SOUTH CAROLINA,2003,39
SOUTH DAKOTA,2003,43
TENNESSEE,2003,50
TEXAS,2003,28
UTAH,2003,41
VIRGINIA,2003,46
WASHINGTON,2003,65
WEST VIRGINIA,2003,41
WISCONSIN,2003,69
WYOMING,2003,27
ALABAMA,2002,40
ARIZONA,2002,86
ARKANSAS,2002,46
CALIFORNIA,2002,76
COLORADO,2002,22
DELAWARE,2002,70
FLORIDA,2002,35
GEORGIA,2002,42
IDAHO,2002,77
ILLINOIS,2002,49
INDIANA,2002,53
IOWA,2002,53
KANSAS,2002,33
KENTUCKY,2002,52
LOUISIANA,2002,40
MARYLAND,2002,66
MICHIGAN,2002,67
MINNESOTA,2002,36
MISSISSIPPI,2002,40
MISSOURI,2002,44
MONTANA,2002,28
NEBRASKA,2002,33
NEVADA,2002,86
NEW JERSEY,2002,57
NEW MEXICO,2002,26
NEW YORK,2002,58
NORTH CAROLINA,2002,42
NORTH DAKOTA,2002,33
OHIO,2002,62
OKLAHOMA,2002,28
OREGON,2002,42
PENNSYLVANIA,2002,53
SOUTH CAROLINA,2002,37
SOUTH DAKOTA,2002,30
TENNESSEE,2002,47
TEXAS,2002,29
UTAH,2002,32
VIRGINIA,2002,61
WASHINGTON,2002,58
WEST VIRGINIA,2002,48
WISCONSIN,2002,61
WYOMING,2002,19
ALABAMA,2001,48
ARIZONA,2001,100
ARKANSAS,2001,52
CALIFORNIA,2001,70
COLORADO,2001,33
DELAWARE,2001,61
FLORIDA,2001,41
GEORGIA,2001,53
IDAHO,2001,73
ILLINOIS,2001,61
INDIANA,2001,66
IOWA,2001,54
KANSAS,2001,40
KENTUCKY,2001,66
LOUISIANA,2001,50
MARYLAND,2001,63
MICHIGAN,2001,64
MINNESOTA,2001,29
MISSISSIPPI,2001,52
MISSOURI,2001,54
MONTANA,2001,22
NEBRASKA,2001,37
NEVADA,2001,95
NEW JERSEY,2001,45
NEW MEXICO,2001,34
NEW YORK,2001,53
NORTH CAROLINA,2001,39
NORTH DAKOTA,2001,40
OHIO,2001,67
OKLAHOMA,2001,33
OREGON,2001,40
PENNSYLVANIA,2001,52
SOUTH CAROLINA,2001,43
SOUTH DAKOTA,2001,32
TENNESSEE,2001,54
TEXAS,2001,34
UTAH,2001,42
VIRGINIA,2001,60
WASHINGTON,2001,61
WEST VIRGINIA,2001,58
WISCONSIN,2001,65
WYOMING,2001,24
ALABAMA,2000,54
ARIZONA,2000,100
ARKANSAS,2000,54
CALIFORNIA,2000,70
COLORADO,2000,29
DELAWARE,2000,66
FLORIDA,2000,49
GEORGIA,2000,54
IDAHO,2000,90
ILLINOIS,2000,57
INDIANA,2000,69
IOWA,2000,47
KANSAS,2000,37
KENTUCKY,2000,57
LOUISIANA,2000,53
MARYLAND,2000,63
MICHIGAN,2000,72
MINNESOTA,2000,46
MISSISSIPPI,2000,55
MISSOURI,2000,52
MONTANA,2000,33
NEBRASKA,2000,36
NEVADA,2000,100
NEW JERSEY,2000,57
NEW MEXICO,2000,24
NEW YORK,2000,53
NORTH CAROLINA,2000,50
NORTH DAKOTA,2000,45
OHIO,2000,72
OKLAHOMA,2000,34
OREGON,2000,62
PENNSYLVANIA,2000,53
SOUTH CAROLINA,2000,49
SOUTH DAKOTA,2000,42
TENNESSEE,2000,55
TEXAS,2000,30
UTAH,2000,40
VIRGINIA,2000,63
WASHINGTON,2000,73
WEST VIRGINIA,2000,61
WISCONSIN,2000,62
WYOMING,2000,24
